gene_IDs	gene_names	logFC	PValue
ENSG00000000003	TSPAN6	-0.263447884687168	0.0509059883209065
ENSG00000000419	DPM1	-0.00308573527520742	0.970835883246799
ENSG00000000457	SCYL3	0.0446629096209714	0.630240382343287
ENSG00000000460	C1orf112	0.729702207471434	0.000219188229116367
ENSG00000000938	FGR	-1.24093652047034	3.66437809810686e-15
ENSG00000000971	CFH	-0.726392446140608	0.000698282302029008
ENSG00000001036	FUCA2	0.0507489342791362	0.665565687890347
ENSG00000001084	GCLC	-0.603486480066955	1.1460889455279e-06
ENSG00000001167	NFYA	0.37289626082068	0.000226883031239204
ENSG00000001460	STPG1	0.476569615543845	0.000468260245944249
ENSG00000001461	NIPAL3	0.443189597501851	4.91315701727628e-05
ENSG00000001497	LAS1L	0.445431368536034	5.23222351549095e-08
ENSG00000001561	ENPP4	0.288211814457413	0.109844932476945
ENSG00000001617	SEMA3F	1.3162425352595	1.26203650294081e-35
ENSG00000001626	CFTR	-6.37683933111152	1.55326790558713e-24
ENSG00000001629	ANKIB1	0.17678549705287	0.082733447326703
ENSG00000001630	CYP51A1	0.1244278506178	0.516902916821922
ENSG00000001631	KRIT1	-0.0457733463321591	0.643272046749555
ENSG00000002016	RAD52	0.230632548860703	0.0365053200882527
ENSG00000002330	BAD	0.120804091980128	0.290052803006178
ENSG00000002549	LAP3	-0.822771905314072	9.31041525486248e-11
ENSG00000002586	CD99	0.00876086053895912	0.928980113259205
ENSG00000002587	HS3ST1	-0.497135574206568	0.0296777829062714
ENSG00000002726	AOC1	-2.07884561313479	3.785767320593e-09
ENSG00000002822	MAD1L1	0.125353870107659	0.399068617737735
ENSG00000002834	LASP1	0.476360462627068	5.48909115166663e-06
ENSG00000002919	SNX11	0.417098647339801	2.60566892123891e-09
ENSG00000002933	TMEM176A	-0.64778995809029	0.000548478738887523
ENSG00000003056	M6PR	-0.18178367143558	0.12230666942281
ENSG00000003096	KLHL13	-0.159402216746073	0.515571565995471
ENSG00000003137	CYP26B1	-1.45048859965262	5.80646517909912e-07
ENSG00000003147	ICA1	-0.138162197876098	0.456170724575934
ENSG00000003249	DBNDD1	1.57250535762326	1.44461831477728e-11
ENSG00000003393	ALS2	-0.370445415219174	0.000130574269724836
ENSG00000003400	CASP10	-0.183318311317292	0.0189668725459035
ENSG00000003402	CFLAR	-0.250728890439968	0.000144610245639411
ENSG00000003436	TFPI	-0.475715480141271	0.0234547021406986
ENSG00000003509	NDUFAF7	0.00364144296746195	0.959504958344096
ENSG00000003756	RBM5	0.0874695348912689	0.17548844978005
ENSG00000003987	MTMR7	-0.109446141996161	0.632578716896268
